titleId,ordering,title,region,language,types,attributes,isOriginalTitle
tt0000001,1,Карменсіта,UA,\N,imdbDisplay,\N,0
tt0000001,2,Carmencita,DE,\N,\N,literal title,0
tt0000001,3,Carmencita - spanyol tánc,HU,\N,imdbDisplay,\N,0
tt0000001,4,Καρμενσίτα,GR,\N,imdbDisplay,\N,0
tt0000001,5,Карменсита,RU,\N,imdbDisplay,\N,0
tt0000001,6,Carmencita,US,\N,imdbDisplay,\N,0
tt0000001,7,Carmencita,\N,\N,original,\N,1
tt0000001,8,カルメンチータ,JP,ja,imdbDisplay,\N,0
tt0000002,1,Le clown et ses chiens,\N,\N,original,\N,1
tt0000002,2,Le clown et ses chiens,FR,\N,imdbDisplay,\N,0
tt0000002,3,A bohóc és kutyái,HU,\N,imdbDisplay,\N,0
tt0000002,4,Der Clown und seine Hunde,DE,\N,\N,literal title,0
tt0000002,5,Clovnul si cainii sai,RO,\N,imdbDisplay,\N,0
tt0000002,6,Клоун и его собаки,RU,\N,imdbDisplay,\N,0
tt0000002,7,The Clown and His Dogs,US,\N,\N,literal English title,0
tt0000002,8,道化師と犬,JP,ja,imdbDisplay,\N,0
tt0000003,1,Sarmanul Pierrot,RO,\N,imdbDisplay,\N,0
tt0000003,2,Szegény Pierrot,HU,\N,imdbDisplay,\N,0
tt0000003,3,哀れなピエロ,JP,ja,imdbDisplay,\N,0
tt0000003,4,Бідний П'єро,UA,\N,imdbDisplay,\N,0
tt0000003,5,Бедный Пьеро,RU,\N,imdbDisplay,\N,0
tt0000003,6,Pauvre Pierrot,\N,\N,original,\N,1
tt0000003,7,Poor Pierrot,GB,\N,imdbDisplay,\N,0
tt0000003,8,Pauvre Pierrot,FR,\N,imdbDisplay,\N,0
tt0000003,9,Armer Pierrot,DE,\N,\N,literal title,0
tt0000004,1,Un bon bock,\N,\N,original,\N,1
tt0000004,2,Un bon bock,FR,\N,imdbDisplay,\N,0
tt0000004,3,Ein gutes Glas Bier,DE,\N,\N,literal title,0
tt0000004,4,Un ţap de bere,RO,\N,imdbDisplay,\N,0
tt0000004,5,Полная кружка пива,RU,\N,imdbDisplay,\N,0
tt0000004,6,一杯のビール,JP,ja,imdbDisplay,\N,0
tt0000004,7,A Good Beer,\N,\N,\N,\N,0
tt0000004,8,Egy jó pohár sör,HU,\N,imdbDisplay,\N,0
tt0000005,10,Blacksmith Scene,\N,\N,original,\N,1
tt0000005,11,The Blacksmith's Forge,GB,\N,\N,informal alternative title,0
tt0000005,1,Blacksmithing Scene,US,\N,alternative,\N,0
tt0000005,2,Ковальська сцена,UA,\N,imdbDisplay,\N,0
tt0000005,3,Сцена в кузне,RU,\N,imdbDisplay,\N,0
tt0000005,4,Blacksmith Shop,GB,\N,\N,informal alternative title,0
tt0000005,5,Blacksmith Scene #1,US,\N,alternative,\N,0
tt0000005,6,Blacksmithing,US,\N,\N,informal alternative title,0
tt0000005,7,Schmiedszene,DE,\N,\N,literal title,0
tt0000005,8,A patkolókovács,HU,\N,imdbDisplay,\N,0
tt0000005,9,Blacksmith Scene,US,\N,imdbDisplay,\N,0
tt0000006,1,Китайский опиумный притон,RU,\N,imdbDisplay,\N,0
tt0000006,2,Chinezes Fumadores de Ópio,PT,\N,\N,promotional title,0
tt0000006,3,Chinese Opium Den,US,\N,imdbDisplay,\N,0
tt0000006,4,Kínai ópiumbarlang,HU,\N,imdbDisplay,\N,0
tt0000006,5,Chinese Opium Den,\N,\N,original,\N,1
tt0000006,6,Chinesische Opiumhöhle,DE,\N,\N,literal title,0
tt0000007,1,Corbett and Courtney Before the Kinetograph,US,\N,imdbDisplay,\N,0
tt0000007,2,Corbett and Courtney Before the Kinetograph,\N,\N,original,\N,1
tt0000007,3,A Corbett-Courtney bokszmeccs,HU,\N,imdbDisplay,\N,0
tt0000007,4,キネトグラフの前のコーベットとコートニー,JP,ja,imdbDisplay,\N,0
tt0000007,5,The Corbett-Courtney Fight,US,\N,alternative,\N,0
tt0000007,6,Jim Corbett vs. Peter Courtney,US,\N,alternative,\N,0
